pair	nsnps	mismatch	pmr
IPK12 - IPK13	25292	4722	0.1866993515736201
IPK12 - IPY08	25173	4913	0.19516942756127598
IPK12 - IPY10	25413	4936	0.19423129894148664
IPK12 - I11974	25401	5554	0.21865280894452974
IPK12 - I1752	25133	5148	0.20483030278916167
IPK12 - USR1	25420	5963	0.2345790715971676
IPK12 - A460	25422	5261	0.20694673904492172
IPK12 - AHUR_2064	25421	5478	0.21549112938122025
IPK12 - AHUR770c	20827	4516	0.21683391751092332
IPK12 - SA5832	24987	5199	0.20806819546164004
IPK12 - Sumidouro4	24232	5093	0.21017662594915815
IPK12 - Sumidouro5	25413	5508	0.2167394640538307
IPK12 - Sumidouro6	24996	5298	0.21195391262602017
IPK12 - Sumidouro7	23288	4888	0.20989350738577808
IPK12 - Sumidouro8	20072	4212	0.20984455958549222
IPK12 - I12354	25072	4737	0.18893586470963625
IPK12 - I12355	24509	4765	0.19441837692276306
IPK12 - I12356	24416	4780	0.1957732634338139
IPK12 - I12357	24307	4598	0.1891636154194265
IPK12 - I12358	24827	4834	0.19470737503524388
IPK12 - I12359	22924	4429	0.19320362938405164
IPK12 - I12360	19384	3754	0.19366487825010317
IPK12 - I12361	19859	3826	0.19265824059620323
IPK12 - I12362	24804	5026	0.20262860828898566
IPK12 - I12363	24608	4763	0.19355494148244473
IPK12 - I12364	21530	4284	0.1989781699953553
IPK12 - I12365	23123	4530	0.19590883535873374
IPK12 - I12366	24347	4554	0.18704563190536821
IPK12 - I12367	23476	4595	0.19573181121145
IPK12 - I12941	24994	4773	0.19096583179963192
IPK12 - I12942	23011	4399	0.19116944070227282
IPK12 - I12943	25000	4620	0.1848
IPK12 - I8575	24258	4615	0.1902465166130761
IPK12 - I8576	24726	4809	0.19449162824557145
IPK12 - Cuncaicha15-03	24695	5037	0.20396841465883783
IPK12 - Cuncaicha15-07	24737	5090	0.20576464405546346
IPK12 - I0038	25190	5275	0.2094084954346963
IPK12 - I0040	24671	5218	0.21150338454055367
IPK12 - I0041	24423	5181	0.21213610121606682
IPK12 - I0238	18381	3847	0.2092922039062075
IPK12 - I0308	23922	4864	0.20332748097985118
IPK12 - I0309	24334	5116	0.21024081532012823
IPK12 - I1748	10912	2306	0.21132697947214077
IPK12 - I1753	24892	5218	0.20962558251647115
IPK12 - I1754	24971	5114	0.2047975651756037
IPK12 - I2230	24961	5192	0.20800448699971957
IPK12 - I2232	11750	2529	0.21523404255319148
IPK12 - I7086	19432	4082	0.21006587072869493
IPK12 - I7090	22020	4647	0.21103542234332426
IPK12 - Lapa01	23721	5028	0.211964082458581
IPK12 - Lapa05	20544	4365	0.21247079439252337
IPK12 - Lapa14	23991	5081	0.2117877537409862
IPK12 - Lapa15	24428	5247	0.214794498116915
IPK12 - Lapa22	23884	5112	0.21403450008373806
IPK12 - Lapa24	24662	5185	0.21024247830670667
IPK12 - Lapa25	24293	5191	0.2136829539373482
IPK12 - AM66	10191	1776	0.17427141595525464
IPK12 - AM71	18134	3195	0.176188375427374
IPK12 - AM73	7856	1449	0.1844450101832994
IPK12 - AM74	23635	4294	0.18167971229109373
IPK12 - MA577	25040	4916	0.19632587859424921
IPK12 - Yaghan890	20679	3872	0.18724309686155036
IPK12 - Yaghan894	24201	4608	0.1904053551506136
IPK12 - Yaghan895	24348	4529	0.18601117134877607
IPK12 - Anzick	25406	5610	0.22081398094938204
