pair	nsnps	mismatch	pmr
IPK12 - IPK13	24635	7172	0.29113050537852647
IPK12 - IPY08	24442	7662	0.3134768022256771
IPK12 - IPY10	24817	7495	0.30201071845912075
IPK12 - I11974	24788	8250	0.3328223333871228
IPK12 - I1752	24393	7760	0.318124051982126
IPK12 - USR1	24825	9295	0.3744209466263847
IPK12 - A460	24821	7840	0.31586156883284316
IPK12 - AHUR_2064	24825	8248	0.33224572004028197
IPK12 - AHUR770c	18540	6280	0.33872707659115425
IPK12 - SA5832	24168	7766	0.3213339953657729
IPK12 - Sumidouro4	22973	7635	0.3323466678274496
IPK12 - Sumidouro5	24813	8345	0.3363156409946399
IPK12 - Sumidouro6	24168	8074	0.33407811982787156
IPK12 - Sumidouro7	21644	7214	0.3333025318795047
IPK12 - Sumidouro8	17506	5809	0.3318290871701131
IPK12 - I12354	24294	7075	0.2912241705770972
IPK12 - I12355	23515	6862	0.2918137359132469
IPK12 - I12356	23373	6869	0.2938861079022804
IPK12 - I12357	23228	6778	0.29180299638367485
IPK12 - I12358	23986	7031	0.2931293254398399
IPK12 - I12359	21381	6269	0.2932042467611431
IPK12 - I12360	17017	5085	0.2988188282305929
IPK12 - I12361	17605	5261	0.2988355580800909
IPK12 - I12362	23908	7464	0.31219675422452736
IPK12 - I12363	23625	6838	0.28943915343915344
IPK12 - I12364	19662	5853	0.2976808056148917
IPK12 - I12365	21635	6427	0.29706494106771436
IPK12 - I12366	23247	6748	0.2902740138512496
IPK12 - I12367	22051	6566	0.2977642737290826
IPK12 - I12941	24189	7125	0.29455537641076524
IPK12 - I12942	21443	6292	0.2934290910786737
IPK12 - I12943	24212	7062	0.2916735503056336
IPK12 - I8575	23151	6969	0.30102371387845017
IPK12 - I8576	23785	7176	0.30170275383645156
IPK12 - Cuncaicha15-03	23779	7558	0.31784347533537993
IPK12 - Cuncaicha15-07	23860	7517	0.315046102263202
IPK12 - I0038	24462	7932	0.32425803286730437
IPK12 - I0040	23689	7730	0.32631179028240953
IPK12 - I0041	23368	7552	0.32317699418007534
IPK12 - I0238	15771	5074	0.3217297571491979
IPK12 - I0308	22673	7140	0.31491200987959245
IPK12 - I0309	23258	7461	0.32079284547252557
IPK12 - I1748	8385	2718	0.32415026833631483
IPK12 - I1753	24059	7679	0.3191736979924353
IPK12 - I1754	24177	7446	0.30797865740166275
IPK12 - I2230	24135	7723	0.3199917132794696
IPK12 - I2232	9226	2986	0.3236505527856059
IPK12 - I7086	16976	5432	0.3199811498586239
IPK12 - I7090	20148	6514	0.3233075243200318
IPK12 - Lapa01	22442	7265	0.32372337581320737
IPK12 - Lapa05	18358	6061	0.33015579039111015
IPK12 - Lapa14	22796	7338	0.3218985786980172
IPK12 - Lapa15	23404	7615	0.32537173132797814
IPK12 - Lapa22	22646	7411	0.32725426123818774
IPK12 - Lapa24	23694	7770	0.3279311218029881
IPK12 - Lapa25	23233	7659	0.32966039684930915
IPK12 - AM66	7681	2121	0.2761359198021091
IPK12 - AM71	15675	4229	0.26979266347687403
IPK12 - AM73	5831	1659	0.2845138055222089
IPK12 - AM74	22217	6236	0.2806859612008822
IPK12 - MA577	24207	7112	0.2937993142479448
IPK12 - Yaghan890	18654	5307	0.2844966227082663
IPK12 - Yaghan894	23062	6830	0.296158182291215
IPK12 - Yaghan895	23271	6860	0.2947875037600447
IPK12 - Anzick	24791	8473	0.34177725787584207
IPK13 - IPY08	24238	7343	0.302954039112138
IPK13 - IPY10	24637	7390	0.2999553517067825
IPK13 - I11974	24613	8063	0.32759111038881894
IPK13 - I1752	24186	7670	0.31712560985694205
