GRUPO	LN	AN	HN	LF	AF	HF	LNA	ANA	HNA	LNM	ANM	HNM	LNP	ANP	HNP	LOT	AOT	HOT	LO	AO	HO	LR	AR	HR	LM	AM	HM	LA	AA	HA
ALASKA	181.9	140	139.1	62	139.6	76.45	72.3	114.6	121.4	97.4	140	136.7	52.4	110.5	89.4	41.3	7.2	9.5	42	39.1	37.4	52.5	22.8	61.2	62.6	25.4	106.8	53	64.7	11
CHANNEL_ISLAND	177.711	138.875	131.647	62.714	134.033	67.153	74.498	112.273	114.266	94.877	138.813	128.161	56.014	110.859	85.984	38.975	7.914	10.939	39.034	38.334	35.358	51.881	23.455	54.105	57.533	24.277	103.431	52.344	63.639	11.725
BAJA_CALIFORNIA_SUR	189.01	128.538	134.419	68.333	137.724	72.557	75.852	105.752	120.524	105.024	128.538	133.771	60.79	111.462	86.61	43.233	9.91	13.371	46.029	38.557	33.148	52.486	26.071	54.981	64.762	28.838	93.357	57.09	65.629	20.214
BRASIL_TEMPRANO	178.917	129.367	137.208	60.538	125.175	57.983	72.004	110.417	119.542	100.433	129.242	135.542	52.421	109.867	84.492	36.946	6.9	11.264	39.608	38.263	33.833	46.979	24.225	51.663	58.196	22.471	97.921	50.121	61.854	10.858
BRASIL_TARDIO	180.545	141.977	136.95	60.691	136.064	68.873	72.159	113.409	123.895	101.864	141.977	138.236	52.023	109.5	91.05	39.614	6.5	11.5	39.086	38.473	36.023	50.064	25.068	55.655	57.659	25.068	105.65	51.291	63.527	12.573
PERU_TempranoHoloceno	179.9	130	133.8	61.92	132.8	71.74	86.4	110.8	117.5	96.6	131	137.88	53.28	108.9	89.4	40.24	6.7	9.04	39.18	38.62	32.98	49.5	23.7	55.36	57.66	22.4	98.22	51.24	65.36	9.5
PERU_MedioHoloceno	170.25	146.25	145.25	57.425	140.25	64.25	61.675	111.625	122	97.025	146.25	143.5	46.3	114	95.375	43.55	7.55	10.6	40.05	37.7	34.15	51.75	24.6	55.7	58.275	26.125	110.8	51.55	61.425	11.375
NORTE_PERU	176.654	134.654	133.308	60.746	134.831	63.562	72.7	108.362	115.308	96.3	134.654	129.769	58.792	105.385	83.408	39.377	6.038	10.577	39.046	38.754	34.508	49.615	24.585	51.677	56.062	23.715	99.046	49.908	59.746	10.508
CENTRO_PERU	169.5	138.2	135.25	63.51	134.92	65.825	68.345	111.1	116.375	93.47	138.2	132.3	46.015	109.825	85.155	39.665	6.475	10.025	39.455	36.89	34.485	52.7	22.86	54.035	55.63	25.545	106.57	53.535	63.355	10.62
SUR_PERU	167.083	138.896	135.696	61.929	131.567	64.875	65.471	110.542	117.542	95.008	138.896	131.958	47.004	108.167	87.704	40.071	6.479	9.858	38.929	36.371	35.021	50.783	25.063	53.4	55.117	25.425	105.354	51.471	63.008	10.813
PATAGONIA_TERRESTRE	181.822	140.443	137.549	62.774	139.305	72.773	78.865	113.507	118.721	96.75	140.443	133.532	56.571	109.554	83.38	42.832	7.492	10.408	40.964	39.72	35.833	52.141	24.414	57.529	60.982	26.854	101.118	53.758	63.555	13.007
PATAGONIA_MARITIMO	177.9	138.8	133.6	63.8	135.6	69.2	71.8	112.8	116.5	98.3	138.8	131.3	55.4	107.7	85.2	39.1	7.2	10.3	41.4	38.4	35.3	51.2	24	55.7	59.3	24.2	101.3	54	63.3	10
PAMPA	185	133	137.95	69.5	127.5	63	66	107	123	105	133	134.3	50	105	92	41.4	7.75	9.5	39.6	36	34	51	24	54.5	67	29	108	55.5	60.5	11.25
