"","ALASKA","CALIFORNIA","PERICUES","CUBA","PUERTO_RICO","BRASIL_TEMPRANO","BRASIL_TARDIO","PERU_TempranoHoloceno","PERU_MedioHoloceno","NORTE_PERU","CENTRO_PERU","SUR_PERU","PATAGONIA_TERRESTRE","PATAGONIA_MARITIMO","PAMPA"
"ALASKA",0,0.0320903779656871,0.064504694283604,0.0576764594376664,0.0526368436730116,0.0524849274508285,0.0290815485824817,0.0461463872177984,0.0568505752791704,0.0369159373544447,0.0331159786831227,0.0369128606221262,0.0275528343457052,0.0246008420982725,0.0553295935207288
"CALIFORNIA",0.0320903779656871,0,0.0645152442701627,0.0512689163833787,0.0482238325723696,0.0496175939213992,0.0314984193158727,0.0471525453728926,0.0643014283822411,0.0248950933230959,0.0343023393963506,0.0389461272079629,0.024472092027948,0.0179908148790636,0.0604211256812351
"PERICUES",0.064504694283604,0.0645152442701627,0,0.0862118694938948,0.0931968530107964,0.0607963361798177,0.0686521916890894,0.0579069965312361,0.102020938907423,0.0578652805389523,0.079670347720567,0.0831073149890333,0.0562528881768022,0.0593898032670913,0.0639592033902636
"CUBA",0.0576764594376664,0.0512689163833787,0.0862118694938948,0,0.0689707969602322,0.074783667842146,0.0605645265010378,0.0634486461045598,0.0834248906877023,0.059043859644934,0.0630011063232939,0.0657448792502299,0.0458809667793173,0.0526442801854994,0.0931670386235021
"PUERTO_RICO",0.0526368436730116,0.0482238325723696,0.0931968530107964,0.0689707969602322,0,0.0737110791997673,0.0531401531252904,0.0721263260272113,0.0619310248208469,0.0623389546642279,0.037434768968025,0.0416649267715578,0.0558729577693499,0.0517726249552737,0.0841199230126326
"BRASIL_TEMPRANO",0.0524849274508285,0.0496175939213992,0.0607963361798177,0.074783667842146,0.0737110791997673,0,0.0406662883725283,0.0476557904471732,0.0707266866140377,0.040646756033728,0.0552853858607597,0.0544898089751863,0.0515021978335311,0.0460151345710502,0.0473279259026055
"BRASIL_TARDIO",0.0290815485824817,0.0314984193158727,0.0686521916890894,0.0605645265010378,0.0531401531252904,0.0406662883725283,0,0.0483791226672208,0.0481049269151776,0.0304851246481513,0.0316459787183102,0.0278617505599093,0.0355995666518873,0.026687707693587,0.050637706183983
"PERU_TempranoHoloceno",0.0461463872177984,0.0471525453728926,0.0579069965312361,0.0634486461045598,0.0721263260272113,0.0476557904471732,0.0483791226672208,0,0.08421883667002,0.0452191328476357,0.0598356719164076,0.0642624059626888,0.0408272177646627,0.0462894358774084,0.0681109000958122
"PERU_MedioHoloceno",0.0568505752791704,0.0643014283822411,0.102020938907423,0.0834248906877023,0.0619310248208469,0.0707266866140377,0.0481049269151776,0.08421883667002,0,0.0651096041832586,0.0410072608016512,0.0330906592661366,0.069481306627441,0.0615928584140589,0.0728962152145853
"NORTE_PERU",0.0369159373544447,0.0248950933230959,0.0578652805389523,0.059043859644934,0.0623389546642279,0.040646756033728,0.0304851246481513,0.0452191328476357,0.0651096041832586,0,0.0431565509697838,0.0449191672475776,0.0255522668277973,0.0221105790889009,0.0568678599631001
"CENTRO_PERU",0.0331159786831227,0.0343023393963506,0.079670347720567,0.0630011063232939,0.037434768968025,0.0552853858607597,0.0316459787183102,0.0598356719164076,0.0410072608016512,0.0431565509697838,0,0.0157444810063389,0.0413350211444055,0.0329011253951706,0.0590903156137696
"SUR_PERU",0.0369128606221262,0.0389461272079629,0.0831073149890333,0.0657448792502299,0.0416649267715578,0.0544898089751863,0.0278617505599093,0.0642624059626888,0.0330906592661366,0.0449191672475776,0.0157444810063389,0,0.0467778855437034,0.0362021545981697,0.057480497345755
"PATAGONIA_TERRESTRE",0.0275528343457052,0.024472092027948,0.0562528881768022,0.0458809667793173,0.0558729577693499,0.0515021978335311,0.0355995666518873,0.0408272177646627,0.069481306627441,0.0255522668277973,0.0413350211444055,0.0467778855437034,0,0.0209959168762493,0.063053313241865
"PATAGONIA_MARITIMO",0.0246008420982725,0.0179908148790636,0.0593898032670913,0.0526442801854994,0.0517726249552737,0.0460151345710502,0.026687707693587,0.0462894358774084,0.0615928584140589,0.0221105790889009,0.0329011253951706,0.0362021545981697,0.0209959168762493,0,0.0539698608617933
"PAMPA",0.0553295935207288,0.0604211256812351,0.0639592033902636,0.0931670386235021,0.0841199230126326,0.0473279259026055,0.050637706183983,0.0681109000958122,0.0728962152145853,0.0568678599631001,0.0590903156137696,0.057480497345755,0.063053313241865,0.0539698608617933,0
