Región	Sitios	Número individuos	Tipo de dato	Referencias	Temporalidad	Latitud	Longitud
ALASKA	USA_AK_PaleoAleut, USA_AK_NeoAleut	11	Geneticos (1240K)	FlegontovNature2019	LH	68.34	-166.76
BRASIL_TARDIO	Brazil_JabuticabeiraII_2400BP	12	Geneticos (1240K)	FerrazNature2023	LH	-26.16	-48.53
BRASIL_TEMPRANO	Brazil_Sumidouro_10100BP	2	Geneticos (shotgun)	MorenoMayarScience2018	EH	-19.54	-43.94
CALIFORNIA	USA_CA_SantaRosa_3000BP, USA_CA_SanCruz_IslandChumash, USA_CA_LSCI, USA_CA_SanMiguel_IslandChumash, USA_CA_Late_SanNicolas	19	Geneticos (1240K y Shotgun)	ScheibScience2018, Nakatsuka_et_al_2023	LH	33.38	-118.42
CENTRO_PERU	Peru_Lima_LIP_650BP, Peru_Lima_1050BP_MH, Peru_Lima_EIP_1450BP	9	Geneticos (1240K)	NakatsukaCell2020	LH	-12.04	-77.05
NORTE_PERU	Peru_ElBrujo_850BP_MH-LIP, Peru_ElBrujo_1300BP_EIP	4	Geneticos (1240K)	NakatsukaCell2020	LH	-7.15	-78.51
PAMPA	Argentina_ArroyoSeco2_7200BP; Argentina_ArroyoSeco2_7700BP	9	Geneticos (1240K)	PosthNakatsukaCell2018	MH	-38.36	-60.24
PATAGONIA_MARITIMO	Chile_WesternArchipelago_800BP.SG, Argentina_BeagleChannel_1900-500BP, Chile_StraitOfMagellan_100BP.SG	7	Geneticos (1240K y Shotgun)	RaghavanScience2015, delaFuentePNAS2018, NakatsukaLuisiNatureCommunications2020	LH	-53.16	-70.82
PATAGONIA_TERRESTRE	Argentina_NorthTierradelFuego_500BP, Chile_NorthTierradelFuego_100BP	7	Geneticos (1240K)	NakatsukaLuisiNatureCommunications2020	LH	-53.75	-68.64
PERICUES	Mexico_Pericues	4	Geneticos (shotgun)	RaghavanScience2015, ScheibScience2018	LH	31.08	-115.61
PERU_MedioHoloceno	Peru_LaGalgada_4100BP	1	Geneticos (1240K)	PosthNakatsukaCell2018	MH	-8.466667	-78.15
PERU_TempranoHoloceno	Peru_Lauricocha_8600BP	3	Geneticos (1240K)	PosthNakatsukaCell2018	EH	-10.32	-76.66
SUR_PERU	Peru_Laramate_900BP	6	Geneticos (1240K)	PosthNakatsukaCell2018	LH	-14.82	-74.93
ALASKA	Holoceno tardío	10	Morfológico	Pucciarelli 2008; Pucciarelli et al 2008	LH	68.34	-166.76
BRASIL_TARDIO	Holoceno tardío	22	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	LH	-26.16	-48.53
BRASIL_TEMPRANO	Holoceno temprano	24	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	EH	-19.54	-43.94
CALIFORNIA	Holoceno tardío	64	Morfológico	Pucciarelli 2008; Pucciarelli et al 2008	LH	33.38	-118.42
CENTRO_PERU	Holoceno tardío	20	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	LH	-12.04	-77.05
NORTE_PERU	Holoceno tardío	13	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	LH	-7.15	-78.51
PAMPA	Holoceno temprano/medio	2	Morfológico	Pucciarelli 2009; Pucciarelli et al 2010	MH	-38.36	-60.24
PATAGONIA_MARITIMO	Holoceno tardío	19	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	LH	-53.16	-70.82
PATAGONIA_TERRESTRE	Holoceno tardío	57	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	LH	-53.75	-68.64
PERICUES	Holoceno tardío	21	Morfológico	Pucciarelli 2008; Pucciarelli et al 2008	LH	31.08	-115.61
PERU_MedioHoloceno	Holoceno medio/tarido inicial	4	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	MH	-8.466667	-78.15
PERU_TempranoHoloceno	Holoceno temprano/medio	5	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	EH	-10.32	-76.66
SUR_PERU	Holoceno tardío	24	Morfológico	Pucciarelli 2008; Pucciarelli et al 2006	LH	-14.82	-74.93
