pop1,pop2,pop3,est,se,z,n
Mbuti,PATAGONIA_MARITIMO,PUERTO_RICO,0.091515917,0.000623877,146.6889824,1082087
Mbuti,PATAGONIA_MARITIMO,BRASIL_TARDIO,0.09222255,0.000672104,137.2146329,1078133
Mbuti,PATAGONIA_MARITIMO,ALASKA,0.081633607,0.000617712,132.1548458,1093540
Mbuti,PATAGONIA_MARITIMO,BRASIL_TEMPRANO,0.087765134,0.000694446,126.3814387,866776
Mbuti,PATAGONIA_MARITIMO,CUBA,0.09182275,0.000643713,142.6454306,1055559
Mbuti,PATAGONIA_MARITIMO,CENTRO_PERU,0.091739039,0.000696518,131.7108942,961919
Mbuti,PATAGONIA_MARITIMO,NORTE_PERU,0.092369842,0.000693826,133.1310911,675407
Mbuti,PATAGONIA_MARITIMO,CALIFORNIA,0.090542074,0.000661209,136.9340325,1118633
Mbuti,PATAGONIA_MARITIMO,PATAGONIA_TERRESTRE,0.101853245,0.000680776,149.6133925,1043022
Mbuti,PATAGONIA_MARITIMO,PERU_TempranoHoloceno,0.090599234,0.000698383,129.7270685,968960
Mbuti,PATAGONIA_MARITIMO,SUR_PERU,0.091937764,0.000635059,144.7704611,952488
Mbuti,PATAGONIA_MARITIMO,PERU_MedioHoloceno,0.091926331,0.000721998,127.3221115,877188
Mbuti,PATAGONIA_MARITIMO,PERICUES,0.088370771,0.000712559,124.0188953,447142
Mbuti,PUERTO_RICO,PATAGONIA_MARITIMO,0.091515917,0.000623877,146.6889824,1082087
Mbuti,PUERTO_RICO,BRASIL_TARDIO,0.092251848,0.000626451,147.2609755,1057567
Mbuti,PUERTO_RICO,ALASKA,0.081322565,0.000572636,142.0143491,1067021
Mbuti,PUERTO_RICO,BRASIL_TEMPRANO,0.087594203,0.000657936,133.1348351,840116
Mbuti,PUERTO_RICO,CUBA,0.095587831,0.000598976,159.5853786,1040177
Mbuti,PUERTO_RICO,CENTRO_PERU,0.09174712,0.000645798,142.0679255,950966
Mbuti,PUERTO_RICO,NORTE_PERU,0.092438481,0.000635306,145.5022617,672205
Mbuti,PUERTO_RICO,CALIFORNIA,0.09017588,0.000615233,146.5718737,1083787
Mbuti,PUERTO_RICO,PATAGONIA_TERRESTRE,0.091549727,0.00062369,146.7871402,1027491
Mbuti,PUERTO_RICO,PERU_TempranoHoloceno,0.090334472,0.000640336,141.0735905,958516
Mbuti,PUERTO_RICO,SUR_PERU,0.092111629,0.000610714,150.8260608,945984
Mbuti,PUERTO_RICO,PERU_MedioHoloceno,0.092355034,0.000649345,142.2280191,871758
Mbuti,PUERTO_RICO,PERICUES,0.088037262,0.000643854,136.7347724,438089
Mbuti,BRASIL_TARDIO,PATAGONIA_MARITIMO,0.09222255,0.000672104,137.2146329,1078133
Mbuti,BRASIL_TARDIO,PUERTO_RICO,0.092251848,0.000626451,147.2609755,1057567
Mbuti,BRASIL_TARDIO,ALASKA,0.081605663,0.000604661,134.9610621,1062331
Mbuti,BRASIL_TARDIO,BRASIL_TEMPRANO,0.088455357,0.000692629,127.7095066,837481
Mbuti,BRASIL_TARDIO,CUBA,0.092370273,0.000633068,145.9089311,1035030
Mbuti,BRASIL_TARDIO,CENTRO_PERU,0.091779537,0.000676921,135.5839128,946217
Mbuti,BRASIL_TARDIO,NORTE_PERU,0.092449819,0.00066533,138.9532443,670217
Mbuti,BRASIL_TARDIO,CALIFORNIA,0.090630383,0.000635702,142.5673645,1079917
Mbuti,BRASIL_TARDIO,PATAGONIA_TERRESTRE,0.092119916,0.000661773,139.2016669,1022526
Mbuti,BRASIL_TARDIO,PERU_TempranoHoloceno,0.090582604,0.000677904,133.6215744,953679
Mbuti,BRASIL_TARDIO,SUR_PERU,0.091986527,0.000626543,146.8159965,941647
Mbuti,BRASIL_TARDIO,PERU_MedioHoloceno,0.092508733,0.000713193,129.7106243,868406
Mbuti,BRASIL_TARDIO,PERICUES,0.088295788,0.000680045,129.8381449,436561
Mbuti,ALASKA,PATAGONIA_MARITIMO,0.081633607,0.000617712,132.1548458,1093540
Mbuti,ALASKA,PUERTO_RICO,0.081322565,0.000572636,142.0143491,1067021
Mbuti,ALASKA,BRASIL_TARDIO,0.081605663,0.000604661,134.9610621,1062331
Mbuti,ALASKA,BRASIL_TEMPRANO,0.078418062,0.000625863,125.2958955,849038
Mbuti,ALASKA,CUBA,0.081502764,0.000578459,140.8964735,1042874
Mbuti,ALASKA,CENTRO_PERU,0.081191783,0.000625011,129.9045833,954735
Mbuti,ALASKA,NORTE_PERU,0.081983882,0.000612802,133.7853012,672443
Mbuti,ALASKA,CALIFORNIA,0.081473639,0.000589112,138.2989807,1095531
Mbuti,ALASKA,PATAGONIA_TERRESTRE,0.081250407,0.000603467,134.6393526,1031516
Mbuti,ALASKA,PERU_TempranoHoloceno,0.080390104,0.000621643,129.3187017,961550
Mbuti,ALASKA,SUR_PERU,0.081578824,0.000586789,139.0258806,946478
Mbuti,ALASKA,PERU_MedioHoloceno,0.081586301,0.000633379,128.8111533,872180
Mbuti,ALASKA,PERICUES,0.07936738,0.000639488,124.1108969,441207
Mbuti,BRASIL_TEMPRANO,PATAGONIA_MARITIMO,0.087765134,0.000694446,126.3814387,866776
Mbuti,BRASIL_TEMPRANO,PUERTO_RICO,0.087594203,0.000657936,133.1348351,840116
Mbuti,BRASIL_TEMPRANO,BRASIL_TARDIO,0.088455357,0.000692629,127.7095066,837481
Mbuti,BRASIL_TEMPRANO,ALASKA,0.078418062,0.000625863,125.2958955,849038
Mbuti,BRASIL_TEMPRANO,CUBA,0.087915921,0.000659034,133.4011624,818667
Mbuti,BRASIL_TEMPRANO,CENTRO_PERU,0.087434071,0.000733257,119.2407084,746946
Mbuti,BRASIL_TEMPRANO,NORTE_PERU,0.087752415,0.000707285,124.069371,525125
Mbuti,BRASIL_TEMPRANO,CALIFORNIA,0.087276737,0.000662846,131.6697222,868842
Mbuti,BRASIL_TEMPRANO,PATAGONIA_TERRESTRE,0.088134397,0.000708574,124.3826857,808203
Mbuti,BRASIL_TEMPRANO,PERU_TempranoHoloceno,0.086612389,0.000717913,120.6447312,752484
Mbuti,BRASIL_TEMPRANO,SUR_PERU,0.087521862,0.000675053,129.6519326,736778
Mbuti,BRASIL_TEMPRANO,PERU_MedioHoloceno,0.088129693,0.000780354,112.935508,679827
Mbuti,BRASIL_TEMPRANO,PERICUES,0.084873747,0.000784707,108.1598319,350622
Mbuti,CUBA,PATAGONIA_MARITIMO,0.09182275,0.000643713,142.6454306,1055559
Mbuti,CUBA,PUERTO_RICO,0.095587831,0.000598976,159.5853786,1040177
Mbuti,CUBA,BRASIL_TARDIO,0.092370273,0.000633068,145.9089311,1035030
Mbuti,CUBA,ALASKA,0.081502764,0.000578459,140.8964735,1042874
