"ALASKA"	"CALIFORNIA"	"PERICUES"	"BRASIL_TEMPRANO"	"BRASIL_TARDIO"	"PERU_TempranoHoloceno"	"PERU_MedioHoloceno"	"NORTE_PERU"	"CENTRO_PERU"	"SUR_PERU"	"PATAGONIA_TERRESTRE"	"PATAGONIA_MARITIMO"	"PAMPA"
"ALASKA"	0	0.314546977408305	0.632269169196118	0.514452503700786	0.285054704396235	0.452322706612936	0.557244188183355	0.36184667333775	0.324599822720445	0.361816515486318	0.270070385949963	0.241135225393252	0.542335662789154
"CALIFORNIA"	0.314546977408305	0	0.63237257920853	0.486347160227803	0.308744652354705	0.462184977690516	0.630276775246996	0.244019449239598	0.336228422946369	0.381746410345272	0.23987322886878	0.176344337463794	0.592242399729955
"PERICUES"	0.632269169196118	0.63237257920853	0	0.59592017904272	0.672922562998433	0.567599133583577	1	0.56719023720671	0.780921530166104	0.8146103719399	0.551385713356824	0.582133470865072	0.626922316881464
"BRASIL_TEMPRANO"	0.514452503700786	0.486347160227803	0.59592017904272	0	0.398607274232502	0.467117740314248	0.693256574302042	0.398415820017225	0.541902343311382	0.534104170758831	0.504819877028049	0.451036180061094	0.46390404175316
"BRASIL_TARDIO"	0.285054704396235	0.308744652354705	0.672922562998433	0.398607274232502	0	0.474207777200734	0.471520135281539	0.298812429826925	0.310191016248409	0.27309835469356	0.348943726975416	0.261590492886999	0.496346208202744
"PERU_TempranoHoloceno"	0.452322706612936	0.462184977690516	0.567599133583577	0.467117740314248	0.474207777200734	0	0.825505406752267	0.443233843286516	0.586503834969649	0.629894281026004	0.400184689553884	0.453724856614122	0.667616871842538
"PERU_MedioHoloceno"	0.557244188183355	0.630276775246996	1	0.693256574302042	0.471520135281539	0.825505406752267	0	0.63819844122726	0.401949455090417	0.324351644089104	0.681049472505745	0.603727617817265	0.714522097083756
"NORTE_PERU"	0.36184667333775	0.244019449239598	0.56719023720671	0.398415820017225	0.298812429826925	0.443233843286516	0.63819844122726	0	0.423016602591215	0.440293607651845	0.250461004392288	0.216725892995013	0.557413611089229
"CENTRO_PERU"	0.324599822720445	0.336228422946369	0.780921530166104	0.541902343311382	0.310191016248409	0.586503834969649	0.401949455090417	0.423016602591215	0	0.154325976362814	0.405162132274771	0.322493850257801	0.579197920021009
"SUR_PERU"	0.361816515486318	0.381746410345272	0.8146103719399	0.534104170758831	0.27309835469356	0.629894281026004	0.324351644089104	0.440293607651845	0.154325976362814	0	0.458512595989254	0.354850239429974	0.563418627208624
"PATAGONIA_TERRESTRE"	0.270070385949963	0.23987322886878	0.551385713356824	0.504819877028049	0.348943726975416	0.400184689553884	0.681049472505745	0.250461004392288	0.405162132274771	0.458512595989254	0	0.205800074975802	0.618042863721161
"PATAGONIA_MARITIMO"	0.241135225393252	0.176344337463794	0.582133470865072	0.451036180061094	0.261590492886999	0.453724856614122	0.603727617817265	0.216725892995013	0.322493850257801	0.354850239429974	0.205800074975802	0	0.529007686459027
"PAMPA"	0.542335662789154	0.592242399729955	0.626922316881464	0.46390404175316	0.496346208202744	0.667616871842538	0.714522097083756	0.557413611089229	0.579197920021009	0.563418627208624	0.618042863721161	0.529007686459027	0
